WeightFraction,Glycerol_mass_g,Water_mass_g,Density_kg_per_m3,Viscosity_Ns_per_m2,Viscosity_cP,SurfaceTension_N_per_m
0.0,0.0,79.75121999282456,996.8902499103069,0.0008927393204667216,0.8927393204667216,0.0762
0.21345794656552958,17.975305076338955,66.23474831148704,1048.4386194680126,0.0015894450021456232,1.5894450021456232,0.0762
0.3751957128880488,32.862839325755246,54.72568633408055,1090.3499223463837,0.0028298691175239576,2.8298691175239576,0.0762
0.501343152741034,45.23296730566999,44.99059924423524,1124.107295588962,0.005038336743441245,5.038336743441246,0.0762
0.6021649990720604,55.597648532547176,36.731943220914836,1151.4197210239622,0.008970322014456187,8.970322014456187,0.0762
0.6844227015352967,64.36847559882206,29.679362753749707,1173.7628729677028,0.01597088115074671,15.97088115074671,0.0762
0.752716109466696,71.86511189740277,23.60927877070668,1192.290048072733,0.028434769624013964,28.434769624013963,0.0762
0.8102669304572985,78.33380784797495,18.342737748875354,1207.863973123167,0.05062564351495686,50.62564351495686,0.0762
0.8593907587502826,83.9647739500257,13.737898664381316,1221.1187211246302,0.09013457206567489,90.13457206567489,0.0762
0.901790473722904,88.90602804415124,9.68231440874284,1232.5163505058463,0.1604767961250908,160.4767961250908,0.0762
0.938744008308976,93.2738387100848,6.08641060655837,1242.386882360998,0.28571502536985255,285.7150253698525,0.0762
0.9712278060322874,97.16045426208002,2.8783354622434465,1250.9394770580097,0.508690841377188,508.690841377188,0.0762
1.0,100.6398,0.0,1257.9975000000015,0.9056800096938467,905.6800096938466,0.0762
